t_int_s,v_start,v_end,delta_v_mv,i_calc_pa
0.1,4.75363353504204,4.748944730000001,4.688805042039057,0.5157685546242963
0.5,4.75362035795826,4.748944730000001,4.675627958259376,0.10286381508170629
1.0,4.75374401583225,4.748944730000001,4.799285832249645,0.05279214415474609
2.0,4.753906380435069,4.748944730000001,4.961650435068243,0.027289077392875342
5.0,4.753789549896909,4.748944730000001,4.8448198969079925,0.010658603773197583
10.0,4.7537095394546505,4.748944730000001,4.764809454649743,0.005241290400114718
15.0,4.75371262849949,4.748944730000001,4.76789849948922,0.0034964588996254284
20.0,4.7537017629732095,4.748944730000001,4.75703297320873,0.0026163681352648015
25.0,4.75371020277115,4.748944730000001,4.765472771149248,0.00209680801930567
30.0,4.75346679938449,4.748944730000001,4.522069384488958,0.0016580921076459513
