t_int_ms,i_led_ma,v_out_inferred
0.5,-0.02835964926454545,-0.623115499999999
0.5,-0.025623605750909086,-0.44221100000000035
0.5,-0.00999915818363636,-0.5427135000000005
0.5,0.0020170669018181814,-0.6030150000000001
0.5,0.01975053202181818,-0.6834170000000004
0.5,0.014167709512727271,-0.5628140000000004
0.5,-0.02847857113181818,-0.6432160000000007
0.5,0.006518847974545453,-0.5025125000000008
0.5,0.0004998080690909091,-0.6633165000000005
0.5,0.01669726607181818,-0.6834169999999995
0.5,0.01190501450090909,-0.6030150000000001
0.5,0.018557914537272728,-0.06030150000000045
0.5,0.04160723097999999,0.44221100000000035
0.5,0.07404457731363637,1.2462310000000003
0.5,0.08731408684727271,2.7135674999999995
0.5,0.12750050484818182,8.829674542657987
0.5,0.18737243889,12.139222710665292
0.5,0.23936439219,16.076892335787072
0.5,0.29707767871727275,20.191472366437644
0.5,0.33673563630000003,27.738827617881288
0.5,0.40506406997000005,32.301308856275654
0.5,0.47695164435545456,37.52999729657714
0.5,0.5594808254509092,40.63210859731082
0.5,0.6180645001745454,48.78621959386
0.5,0.6847702752990911,55.015503542387414
0.5,0.758843870425455,61.06585107881189
0.5,0.8406368250254547,66.29957619190738
0.5,0.9130594016281816,72.47379999990845
0.5,0.9840332072836367,79.58465508074461
0.5,1.0574316814345457,86.359695095991
0.5,1.1357250293454544,90.97155965320802
0.5,1.9366884011300005,165.56161638911237
0.5,2.320694090909091,223.5886376193539
0.5,2.320694090909091,288.62503699602604
0.5,2.320694090909091,366.2786259379427
0.5,2.320694090909091,439.78948957596964
0.5,2.320694090909091,503.4969155826421
0.5,2.320694090909091,592.5178282546849
0.5,2.320694090909091,626.864005836243
0.5,2.320694090909091,718.3058864055588
5.0,0.019811308624545453,0.060301499999999564
5.0,0.01954130409,0.060301499999999564
5.0,-0.00490401035090909,-0.020100499999999855
5.0,0.01892827538636363,0.12060300000000002
5.0,0.018635612106363636,0.04020099999999971
5.0,0.020177210817272723,0.10050249999999927
5.0,0.02625761206727272,0.020100499999999855
5.0,0.0030549105363636346,-0.020100499999999855
5.0,0.005927893274545453,0.6030150000000001
5.0,0.010730085456363633,1.487437
5.0,0.03565170865454545,2.4723615000000003
5.0,0.036059931536363624,9.855167637956106
5.0,0.05841245500999999,20.429072023006597
