light_percent,v_led_control
0,2.3
10,2.3769999999999913
20,2.3952307692307584
30,2.4050227272727156
40,2.413260869565205
50,2.419564102564089
60,2.424144578313239
70,2.4302515337423167
80,2.433537878787864
90,2.437635036496335
100,3.400000000000001
