t_int_s,v_start,v_end,delta_v_mv,i_apparent_pa
0.1,4.753944663043351,4.748944730000001,4.999933043349891,0.549992634768488
0.5,4.753954520730559,4.748944730000001,5.009790730558628,0.11021539607228982
1.0,4.753817859441109,4.748944730000001,4.873129441108404,0.05360442385219245
2.0,4.753989471479961,4.748944730000001,5.044741479959924,0.027746078139779588
5.0,4.753758092614411,4.748944730000001,4.813362614410011,0.010589397751702024
10.0,4.75435022761577,4.748944730000001,5.405497615769583,0.005946047377346542
15.0,4.753673037750668,4.748944730000001,4.728307750667682,0.003467425683822967
20.0,4.7538378288858505,4.748944730000001,4.893098885849767,0.002691204387217372
