sample,voltage_v
1,4.77899469
2,4.774170569999999
3,4.77376856
4,4.774170569999999
5,4.77417057
6,4.77819067
7,4.778994689999999
8,4.77577861
9,4.77216052
10,4.77819067
11,4.7713565
12,4.77376856
13,4.7753765999999995
14,4.77376856
15,4.77296454
16,4.77859268
17,4.766934389999999
18,4.77457258
19,4.774974589999999
20,4.77658263
21,4.77457258
22,4.77376856
23,4.7753765999999995
24,4.778592679999999
25,4.77979871
26,4.772562529999999
27,4.776180619999999
28,4.76974846
29,4.772562529999999
30,4.770954489999999
31,4.77216052
32,4.77577861
33,4.7773866499999995
34,4.77216052
35,4.77336655
36,4.7713565
37,4.77577861
38,4.77778866
39,4.7773866499999995
40,4.77457258
41,4.77618062
42,4.77778866
43,4.77577861
44,4.7733665499999995
45,4.774572579999999
46,4.77417057
47,4.77457258
48,4.77658263
49,4.7753766
50,4.774572579999999
51,4.7753766
52,4.77859268
53,4.771758510000001
54,4.77577861
55,4.77778866
56,4.77658263
57,4.774974589999999
58,4.76814042
59,4.77778866
60,4.77457258
61,4.78180876
62,4.778994689999999
63,4.776984639999999
64,4.7753765999999995
65,4.7793967
66,4.781004739999999
67,4.782210770000001
68,4.78020072
69,4.774170569999999
70,4.77497459
71,4.77336655
72,4.77979871
73,4.77577861
74,4.778994689999999
75,4.778994689999999
76,4.772160519999999
77,4.77899469
78,4.774572579999999
79,4.770954489999999
80,4.774170569999999
81,4.76974846
82,4.77417057
83,4.7733665499999995
84,4.774974589999999
85,4.77819067
86,4.77618062
87,4.7793966999999995
88,4.77216052
89,4.7753766
90,4.77979871
91,4.77256253
92,4.77497459
93,4.778592679999999
94,4.77698464
95,4.77296454
96,4.7753765999999995
97,4.76613037
98,4.7793966999999995
99,4.776984639999999
100,4.774974589999999
101,4.77457258
102,4.77457258
103,4.77577861
104,4.77658263
105,4.77658263
106,4.77216052
107,4.770552479999999
108,4.772562529999999
109,4.77698464
110,4.77979871
111,4.78060273
112,4.77618062
113,4.77778866
114,4.77376856
115,4.7753766
116,4.77497459
117,4.77658263
118,4.776984639999999
119,4.776984639999999
120,4.77618062
121,4.77618062
122,4.7713565
123,4.76974846
124,4.77658263
125,4.77979871
126,4.77376856
127,4.7713565
128,4.772160519999999
129,4.77296454
130,4.772562529999999
131,4.77979871
132,4.7753766
133,4.77336655
134,4.77216052
135,4.7793966999999995
136,4.77859268
137,4.776984639999999
138,4.77658263
139,4.776984639999999
140,4.7713565
141,4.7753765999999995
142,4.77457258
143,4.771758510000001
144,4.77457258
145,4.7753765999999995
146,4.7713565
147,4.772964539999999
148,4.77376856
149,4.771758509999999
150,4.77577861
151,4.77457258
152,4.77778866
153,4.77658263
154,4.7733665499999995
155,4.7733665499999995
156,4.776984639999999
157,4.7753766
158,4.77819067
159,4.776984639999999
160,4.76974846
161,4.77577861
162,4.77618062
163,4.77859268
164,4.77216052
165,4.77457258
166,4.77979871
167,4.77658263
168,4.77618062
169,4.77095449
170,4.77417057
171,4.77457258
172,4.77336655
173,4.7753766
174,4.77658263
175,4.774974589999999
176,4.776984639999999
177,4.77497459
178,4.77658263
179,4.778994689999999
180,4.778994689999999
181,4.7753766
182,4.77618062
183,4.77457258
184,4.7753766
185,4.77376856
186,4.77778866
187,4.7753765999999995
188,4.77577861
189,4.7753765999999995
190,4.77296454
191,4.77618062
192,4.77618062
193,4.77819067
194,4.776582629999999
195,4.774170569999999
196,4.7793966999999995
197,4.77899469
198,4.77618062
199,4.77979871
200,4.776984639999999
201,4.772562529999999
202,4.78180876
203,4.776984639999999
204,4.774170569999999
205,4.7733665499999995
206,4.7713565
207,4.76974846
208,4.77658263
209,4.774170569999999
210,4.77658263
211,4.7753766
212,4.77658263
213,4.7773866499999995
214,4.776582629999999
215,4.77859268
216,4.78221077
217,4.7753766
218,4.778994689999999
219,4.77618062
220,4.778592679999999
221,4.77658263
222,4.76894444
223,4.77819067
224,4.78020072
225,4.778994689999999
226,4.772964539999999
227,4.77457258
228,4.778190669999999
229,4.77778866
230,4.772964539999999
231,4.78462283
232,4.778994689999999
233,4.780200719999999
234,4.77376856
235,4.781004739999999
236,4.7753765999999995
237,4.77497459
238,4.774974589999999
239,4.7733665499999995
240,4.77979871
241,4.774170569999999
242,4.77859268
243,4.774572579999999
244,4.77577861
245,4.772160519999999
246,4.77819067
247,4.77979871
248,4.776582629999999
249,4.77216052
250,4.772964539999999
251,4.77618062
252,4.77859268
253,4.77296454
254,4.775778610000001
255,4.77819067
256,4.7753765999999995
257,4.77336655
258,4.77216052
259,4.77175851
260,4.7753765999999995
261,4.77497459
262,4.77658263
263,4.7753766
264,4.77819067
265,4.7753765999999995
266,4.7818087600000005
267,4.77497459
268,4.776984639999999
269,4.776582629999999
270,4.774170569999999
271,4.77256253
272,4.76773841
273,4.77457258
274,4.77819067
275,4.77658263
276,4.77376856
277,4.7753765999999995
278,4.776984639999999
279,4.77216052
280,4.77618062
281,4.77577861
282,4.77055248
283,4.7753765999999995
284,4.77698464
285,4.77577861
286,4.76854243
287,4.77336655
288,4.775376599999999
289,4.7773866499999995
290,4.77618062
291,4.781004739999999
292,4.77819067
293,4.77175851
294,4.77497459
295,4.7753765999999995
296,4.778994689999999
297,4.77216052
298,4.77658263
299,4.778994689999999
300,4.77658263
301,4.77618062
302,4.77457258
303,4.778592679999999
304,4.770150469999999
305,4.77979871
306,4.76974846
307,4.77658263
308,4.77457258
309,4.77618062
310,4.780602729999999
311,4.77577861
312,4.7773866499999995
313,4.77457258
314,4.781004739999999
315,4.77457258
316,4.77859268
317,4.781004739999999
318,4.774572579999999
319,4.77778866
320,4.77819067
321,4.7793966999999995
322,4.7793966999999995
323,4.774974589999999
324,4.7753765999999995
325,4.77457258
326,4.7793966999999995
327,4.774572579999999
328,4.77296454
329,4.77618062
330,4.776984639999999
331,4.77979871
332,4.77979871
333,4.77175851
334,4.778994689999999
335,4.778592679999999
336,4.77778866
337,4.7773866499999995
338,4.77859268
339,4.7773866499999995
340,4.77618062
341,4.774974589999999
342,4.77778866
343,4.780200719999999
344,4.77336655
345,4.76894444
346,4.77336655
347,4.76974846
348,4.77216052
349,4.77296454
350,4.77376856
351,4.77577861
352,4.776582629999999
353,4.77577861
354,4.7814067499999995
355,4.776984639999999
356,4.77376856
357,4.7733665499999995
358,4.772160519999999
359,4.77979871
360,4.77819067
361,4.77457258
362,4.776582629999999
363,4.777788660000001
364,4.77979871
365,4.77376856
366,4.7793966999999995
367,4.776582629999999
368,4.77658263
369,4.76894444
370,4.776984639999999
371,4.7753766
372,4.77216052
373,4.773768559999999
374,4.77577861
375,4.77618062
376,4.7753765999999995
377,4.77577861
378,4.77376856
379,4.77417057
380,4.77778866
381,4.778994689999999
382,4.77618062
383,4.77216052
384,4.772964539999999
385,4.7713565
386,4.77658263
387,4.77658263
388,4.77457258
389,4.77778866
390,4.77577861
391,4.76974846
392,4.773768559999999
393,4.77618062
394,4.77738665
395,4.77457258
396,4.77336655
397,4.778592679999999
398,4.77417057
399,4.77577861
400,4.778592679999999
401,4.77859268
402,4.7733665499999995
403,4.77055248
404,4.77778866
405,4.76934645
406,4.780602729999999
407,4.77175851
408,4.776582629999999
409,4.775778610000001
410,4.77216052
411,4.77658263
412,4.77457258
413,4.778592679999999
414,4.77457258
415,4.7733665499999995
416,4.77778866
417,4.77216052
418,4.77336655
419,4.778190669999999
420,4.778190669999999
421,4.77778866
422,4.77859268
423,4.7713565
424,4.77497459
425,4.774572579999999
426,4.770552479999999
427,4.7713565
428,4.7753765999999995
429,4.77658263
430,4.773768560000001
431,4.76773841
432,4.77778866
433,4.778592679999999
434,4.770552479999999
435,4.776582629999999
436,4.77738665
437,4.78180876
438,4.77859268
439,4.77658263
440,4.776582629999999
441,4.77618062
442,4.77778866
443,4.7793966999999995
444,4.77577861
445,4.7733665499999995
446,4.77819067
447,4.77778866
448,4.77376856
449,4.77296454
450,4.78261278
451,4.77577861
452,4.775778610000001
453,4.775778610000001
454,4.77457258
455,4.7753765999999995
456,4.7793966999999995
457,4.7753766
458,4.76814042
459,4.777788659999999
460,4.77778866
461,4.77376856
462,4.7753766
463,4.7733665499999995
464,4.77216052
465,4.772562529999999
466,4.77778866
467,4.778190669999999
468,4.77658263
469,4.772160519999999
470,4.774170569999999
471,4.772964539999999
472,4.7814067499999995
473,4.77658263
474,4.77577861
475,4.7733665499999995
476,4.774572579999999
477,4.7773866499999995
478,4.76693439
479,4.77618062
480,4.76974846
481,4.77658263
482,4.76974846
483,4.77296454
484,4.77778866
485,4.774170569999999
486,4.780200719999999
487,4.776984639999999
488,4.77658263
489,4.77175851
490,4.77175851
491,4.778994689999999
492,4.77417057
493,4.77819067
494,4.78020072
495,4.77698464
496,4.77658263
497,4.77175851
498,4.773768560000001
499,4.77778866
500,4.776180619999999
