sample,voltage_v
1,4.77577861
2,4.77658263
3,4.77899469
4,4.7773866499999995
5,4.778592679999999
6,4.77698464
7,4.77417057
8,4.7793966999999995
9,4.77296454
10,4.77296454
11,4.78100474
12,4.7733665499999995
13,4.77417057
14,4.77417057
15,4.77577861
16,4.77216052
17,4.77618062
18,4.776984639999999
19,4.77979871
20,4.78020072
21,4.77256253
22,4.77618062
23,4.7753765999999995
24,4.77819067
25,4.772964539999999
26,4.7793966999999995
27,4.77497459
28,4.77336655
29,4.77577861
30,4.78180876
31,4.772160519999999
32,4.77175851
33,4.7773866499999995
34,4.77336655
35,4.778994689999999
36,4.77336655
37,4.77698464
38,4.776984639999999
39,4.780602729999999
40,4.782210770000001
41,4.776582629999999
42,4.77698464
43,4.77618062
44,4.77778866
45,4.7793966999999995
46,4.77819067
47,4.774170569999999
48,4.776582629999999
49,4.781004739999999
50,4.7713565
51,4.778592679999999
52,4.782612779999999
53,4.77618062
54,4.77979871
55,4.7818087600000005
56,4.78180876
57,4.78100474
58,4.770954489999999
59,4.77778866
60,4.77658263
61,4.77577861
62,4.78582886
63,4.7773866499999995
64,4.776984639999999
65,4.7834167999999995
66,4.7834167999999995
67,4.774170569999999
68,4.77819067
69,4.77819067
70,4.77577861
71,4.77658263
72,4.77497459
73,4.7713565
74,4.7753766
75,4.77015047
76,4.77778866
77,4.78060273
78,4.77577861
79,4.77859268
80,4.77497459
81,4.77175851
82,4.778994689999999
83,4.77417057
84,4.77497459
85,4.77296454
86,4.783014789999999
87,4.77417057
88,4.77618062
89,4.7753765999999995
90,4.778994689999999
91,4.78060273
92,4.7773866499999995
93,4.770552479999999
94,4.784220819999999
95,4.7773866499999995
96,4.7733665499999995
97,4.77778866
98,4.77618062
99,4.780602729999999
100,4.77577861
101,4.77778866
102,4.78100474
103,4.7838188100000005
104,4.77778866
105,4.7818087600000005
106,4.780602729999999
107,4.77819067
108,4.7793966999999995
109,4.77979871
110,4.781004739999999
111,4.778592679999999
112,4.77658263
113,4.77859268
114,4.7818087600000005
115,4.77658263
116,4.77497459
117,4.77376856
118,4.77618062
119,4.77698464
120,4.77778866
121,4.77819067
122,4.77778866
123,4.77819067
124,4.7814067499999995
125,4.7814067499999995
126,4.774974589999999
127,4.781004739999999
128,4.778592679999999
129,4.78140675
130,4.775778610000001
131,4.77979871
132,4.77577861
133,4.780602729999999
134,4.7773866499999995
135,4.774974589999999
136,4.77979871
137,4.775778610000001
138,4.7773866499999995
139,4.770150469999999
140,4.780602729999999
141,4.774170569999999
142,4.773768560000001
143,4.768140419999999
144,4.7733665499999995
145,4.77979871
146,4.7773866499999995
147,4.77819067
148,4.78381881
149,4.776180619999999
150,4.78020072
151,4.77216052
152,4.77778866
153,4.78020072
154,4.778994689999999
155,4.77457258
156,4.78020072
157,4.782210770000001
158,4.7733665499999995
159,4.778994689999999
160,4.77819067
161,4.7753765999999995
162,4.778994689999999
163,4.776582629999999
164,4.781004739999999
165,4.776984639999999
166,4.781004739999999
167,4.774974589999999
168,4.78060273
169,4.778592679999999
170,4.77216052
171,4.77497459
172,4.7773866499999995
173,4.772562529999999
174,4.780602729999999
175,4.770954489999999
176,4.778592679999999
177,4.77618062
178,4.774974589999999
179,4.77216052
180,4.77577861
181,4.7713565
182,4.780602729999999
183,4.778592679999999
184,4.77457258
185,4.774170569999999
186,4.77819067
187,4.77859268
188,4.76934645
189,4.781004739999999
190,4.77819067
191,4.77296454
192,4.770552479999999
193,4.7773866499999995
194,4.778994689999999
195,4.77376856
196,4.7753765999999995
197,4.77618062
198,4.7753765999999995
199,4.78020072
200,4.77778866
201,4.7773866499999995
202,4.77095449
203,4.778994689999999
204,4.77859268
205,4.77979871
206,4.77618062
207,4.77457258
208,4.77497459
209,4.77457258
210,4.773768559999999
211,4.77618062
212,4.77658263
213,4.77577861
214,4.77778866
215,4.77296454
216,4.77457258
217,4.77497459
218,4.7753765999999995
219,4.77577861
220,4.77256253
221,4.77336655
222,4.7733665499999995
223,4.78060273
224,4.776582629999999
225,4.776582629999999
226,4.77216052
227,4.76934645
228,4.774170569999999
229,4.77618062
230,4.7733665499999995
231,4.77296454
232,4.7733665499999995
