v_in,i_ma
2.2,0.0
2.3473684210526318,1.1626794258373296
2.4947368421052634,4.779904306220105
2.642105263157895,8.39712918660288
2.7894736842105265,12.014354066985657
2.936842105263158,15.63157894736843
3.0842105263157897,19.248803827751207
3.231578947368421,22.86602870813397
3.378947368421053,26.483253588516757
3.526315789473684,30.100478468899524
3.673684210526316,33.7177033492823
3.8210526315789473,37.334928229665074
3.968421052631579,40.95215311004785
4.11578947368421,44.569377990430624
4.2631578947368425,48.18660287081341
4.410526315789474,51.80382775119618
4.557894736842105,55.42105263157894
4.705263157894737,59.038277511961724
4.852631578947369,62.655502392344516
5.0,66.27272727272728
