t_int_s,i_leak_pa,mode
0.0009999999999999998,221.10549999999847,INT
0.009999999999999998,0.0,INT
0.09999899999999999,15.47753977539774,INT
0.20000000000000004,13.266330000000002,INT
0.4999999999999999,13.708541000000002,INT
1.0000000000000004,13.708540999999995,INT
2.0,12.71356625,INT
10.0,3.55979855,INT
