i_pd_na,v_out
0.0016368293979545452,-0.04020099999999971
-0.0009633603181363635,-0.0402010000000006
-0.003315096890318181,0.04020099999999971
0.0028975967140909085,-0.32160800000000034
0.0022007525800909087,-0.020100499999999855
-0.0015713858245909088,-0.44221099999999947
0.0022216717186363632,-0.020100499999999855
0.0020409207133636363,-0.0804020000000003
-0.0032685550962272725,-0.20100499999999943
0.0038547569416363635,-0.2613064999999999
-0.00041176056981818184,-0.0804020000000003
-0.0015988010792727274,-0.04020099999999971
0.0003211383792272727,0.020100499999999855
-0.001221434292272727,-0.48241200000000006
0.0009163909315909088,0.020100499999999855
0.001117156552909091,0.020100500000000743
-0.0017033638802727267,-0.10050249999999927
0.00038602279322727274,-0.0402010000000006
0.004857050100954544,0.20100500000000032
0.004004578759363636,0.5628139999999995
0.005900414063727271,0.8241205000000003
0.00460403048890909,1.4673365000000005
0.007047907753090906,1.9899494999999998
0.007471942419136362,2.331658
0.008085515663590908,3.5577885000000005
0.008362326958363635,10.36001386354923
0.011388826351636362,14.95710113853254
0.010214158613590906,21.066774381294692
0.012394945915227272,26.37306101059582
0.018665709864136366,28.272026269516413
0.01697652780027273,41.006476420568426
0.02424330807054546,40.55597978034857
0.027271698738136365,46.655645340054
0.028719433596000002,64.11651019976429
0.032416578862499996,78.67473357302032
0.03671436544268182,84.20003765571623
0.04375695021790908,90.24476531968925
0.046726360536545455,105.30748335967678
0.05047697678768181,117.58373581070593
0.05540769887577273,127.35549099390722
0.061976083618909106,133.0546841487317
0.06570037552431818,154.6999797610699
0.07063938084572727,164.9477905302419
0.07611367710068186,167.7094106594925
0.08100912829322729,195.6033685291433
0.0858533177288182,204.61016668365824
0.09166768155204545,216.28887830447195
0.09724001160013639,210.6692449690921
0.10369307794745457,231.13157047321616
0.10812316053668183,254.06004832705133
0.1127300909795455,270.28886819022466
0.1197803888648182,262.5686091171058
0.125972607369,276.5194883622904
0.1300380413057727,304.32682674277993
0.13621768420622726,318.374423216416
0.14104557030899997,333.7641034851034
0.14772199889427276,327.2760059556861
0.1538262375099546,353.5220243335644
0.15894643787495458,379.883211057431
0.16501220961559093,372.45614524672254
0.17075843274381813,374.3347306781998
0.19929798148336367,467.00903572489665
0.22947102111054551,537.3199877319522
0.2584256195926363,621.8125409568763
0.2899189770081819,702.2435809223308
0.3190513004566365,761.66456424054
0.3473825075136817,809.0587579581081
0.3481041136363636,926.8367046183017
0.3481041136363636,1022.5260975236389
0.3481041136363636,967.1166807126582
0.3481041136363636,1123.5248263228011
0.3481041136363636,1215.3414520251972
0.3481041136363636,1226.5452135654623
0.3481041136363636,1357.3409416743075
0.3481041136363636,1286.3155527671126
0.3481041136363636,1527.2514204022582
0.3481041136363636,1589.1941747185506
0.3481041136363636,1668.6153671058028
0.3481041136363636,1662.9680526705495
0.3481041136363636,1644.6415065626938
0.3481041136363636,1947.2066969497614
0.3481041136363636,1987.245592123698
0.3481041136363636,2071.5513535212067
0.3481041136363636,2054.2078959875953
0.3481041136363636,2014.1350687022348
0.3481041136363636,2103.627800006215
0.3481041136363636,2336.1394034984537
0.3481041136363636,2348.0230923852805
0.3481041136363636,2386.577091386147
0.3481041136363636,2488.9925816674013
0.3481041136363636,2496.0982934501667
0.3481041136363636,2639.0423361165945
0.3481041136363636,2748.9258045663305
0.3481041136363636,2836.085314476187
0.3481041136363636,2954.5885719881458
0.3481041136363636,3034.07461198594
0.3481041136363636,2858.4283951951
0.3481041136363636,3005.3572395545807
